name,position,source,notes
Maximo Pacheco,Gerente General Codelco,Inyeccion Directa,Perfil: linkedin.com/in/maximopacheco - Liderazgo en mineria y energia.
Ricardo Ramos,Gerente General SQM,Inyeccion Directa,Perfil: linkedin.com/in/ricardoramossqm - CEO de gigante del litio.
Ignacio Mehech,Gerente General Albemarle Chile,Inyeccion Directa,Perfil: linkedin.com/in/ignaciomehech - Sector Inversiones Estrategicas.
Andres Seg,Gerente de Inversiones Compass Group,Inyeccion Directa,Perfil: linkedin.com/in/andressegu - Especialista en Asset Management.
Marcela Braathen,Directora Inversiones,Inyeccion Directa,Perfil: linkedin.com/in/marcelabraathen - Inversora Institucional.
Hans Kulenkampff,CEO H2 Chile,Inyeccion Directa,Perfil: linkedin.com/in/hanskulenkampff - Sector Energias Renovables.
Francisca Cruz,Gerente General Echeverria Izquierdo,Inyeccion Directa,Perfil: linkedin.com/in/franciscacruz - Lider en Real Estate y Construccion.
Sebastian de Carcer,CEO Dercorp,Inyeccion Directa,Perfil: linkedin.com/in/sebastiandecarcer - Inversor Private Equity.
Alejandra Mustakis,Socio Fundadora iF,Inyeccion Directa,Perfil: linkedin.com/in/alejandramustakis - Emprendedora e Inversora Angel.
Cristobal Silva,Socio Fen Ventures,Inyeccion Directa,Perfil: linkedin.com/in/cristobalsilva - Venture Capital Chile.
Rodrigo Castro,CEO Genesis Ventures,Inyeccion Directa,Perfil: linkedin.com/in/rodrigocastro - Inversiones en Proyectos Escalables.
Paula Estévez,Gerente General AmCham Chile,Inyeccion Directa,Perfil: linkedin.com/in/paulaestevez - Redes de Inversion Internacional.
Lorenzo Gazmuri,Director Copec,Inyeccion Directa,Perfil: linkedin.com/in/lorenzogazmuri - Alta direccion y capitales.
Bernardo Larrain,Presidente Matte Holding,Inyeccion Directa,Perfil: linkedin.com/in/bernardolarrain - Inversiones Industriales.
Arturo Tagle,Presidente Directorio,Inyeccion Directa,Perfil: linkedin.com/in/arturotagle - Sector Banca y Finanzas.
Claudio Melandri,Presidente Santander Chile,Inyeccion Directa,Perfil: linkedin.com/in/claudiomelandri - Inversor VIP.
Roberto Alvo,CEO LATAM Airlines,Inyeccion Directa,Perfil: linkedin.com/in/robertoalvo - Gestion de Grandes Capitales.
Holger Paulmann,Presidente SKY Airline,Inyeccion Directa,Perfil: linkedin.com/in/holgerpaulmann - Inversor Estrategico.
Heitmann Werner,Gerente Inversiones,Inyeccion Directa,Perfil: linkedin.com/in/heitmannwerner - Family Office Chile.
Eduardo Perez,CEO Falabella,Inyeccion Directa,Perfil: linkedin.com/in/eduardoperez - Alta Direccion.
